review
"여자친구생일용 케이크를 샀는데 포장도 너무 예쁘고
근데맛이 진짜 미쳤습니다.. 기념일 케이크는 분위기 내는 용으로 조금 먹고 버리는경우가 많았는데 이 케이크는 여친이랑 김탄하면서 먹었어요~~"
"남자친구 생일 기념으로 구매했는데 예쁜데 맛도있어서 엄청 좋아했어요!!
사장님이 진짜 친절하세요!! 예약부터 픽업할때까지 계속 신경써주셨어요:)
타르트도 사진이랑 똑같이 너무 예쁘고 포장도 신경써서 해주셔서 하루종일 들고 다녀도 안망가졌습니다!! 오래오래 운영해주세요🩶"
"세련된 인테리어에 비주얼 폭팔 디저트가 끌려서 왔어요. 땅콩크림커피 너무 부드럽고 고소해요 특히 크림이 안느끼하고 맛있어요. 바스크치즈케잌은 진짜 부드럽고 사르르 녹는 맛이에요.
타르트랑 디저트류가 품절이 많아서 다음에 또 오려구해요 음악도 좋고 화장실도 남녀 나누어져 있어서 좋았어요."
"합정쪽에 카페 어디가지 싶다가 우연히 들렸는데
디저트 종류가 많아서 좋더라구요!! 내부도 힙하게 꾸며져있어서 사진도 잘 나와요
체리타르트랑 얼그레이 밀크티 강추드립니다🥹!!
과일이 무름없이 달고 맛있어요 치즈케이크 같은 느낌의 타르트고 밀크티는 많이 안달아서 좋더라구요 ㅎㅎ
접기"
"합정역 주변에 진짜 맛있는 디저트카페를 찾으시는 분들 계신다면 <미니멀비> 아주 강력추천드려요!!! 커피야 말해뭐해 당연히 맛있는데요, 디저트류가 진짜 흡입하기 시작하면 순삭되더라구요 ㅎㅎ 조각케이크류만 먹어봤지만 다음에 재방문하면 다른 것들도 먹어보고 싶어요♡♥"
"B크림커피 디카페인원두로 변경해 먹었는데 고소하면서 달달한 크림라떼에요 또 먹으러가고 싶을정도로 맛있는 라떼네요 ㅎㅎ
리치 캐모마일 릴렉서도 편안해지고 맛있어서 좋았어요
기대를 품고 대망의 ♥️단호박 치즈케이크♥️한입했는데.,
같이 간 친구와 함께 미간이 절로 찌뿌려지고 감탄까지 나왔네요 진짜 너무 맛있어서 핵추천.
단호박을 직접 찌고 으깬 수제케이크! 크림과 함께 먹으니 달달하면서 맛있네요ㅎㅎ
다음 기념일 있을때 여기 단호박치즈케이크 예약하려고요 ❕
접기"
"친구 생일케이크로 주문했어요.
타르트 너무 이쁘네요ㅠㅜ꼼꼼하게 포장해주셔서 감사해요. 오토바이 타고 갔는데 다행히 안망가졌어요.
다음에도 또 주문하러 갈게요ㅠㅜㅠ
감사합니다.
접기"
가족 생일 케이크로 예약했는데 다들 요근래 먹은 케이크 중에 제일 맛있는 케이크라고 하더라구여 앞으로도 케이키 주문할 일 있으면은 미니멀비로 갈 것 같습니당🥺🥺♥️
"매장에 흘러나오는 노래도 좋고 분위기도 너무 좋네요!
라떼와 크림 밀크티 먹었는데 맛있습니다!!"
"레몬타르트와 딸기크림라떼, 자두 히비스커스 이렇게 시켜서 먹었는데 소문대로 역시 타르트 존맛탱이에요! ㅎㅎㅎ 디저트와 음료 다 너무 맛있어요💕"
