review
"당일에 네이버예약했어요!
그냥 가벼운 기념?으로 케이크는 하고싶은데
그렇다고 큰거는 필요없고(오직 사진용ㅎㅎ)
가격 너무 만족해요!
문구 문의를 해보니,
한글 10글자/ 영어 20글자 라고 합니다-
우유크림? 맛있게 먹었습니다~
친절히 대응해주셔서 감사합니당♡
접기"
케이크 넘 귀엽고 맛까지 있음
